bank,id,voice,duration,peak_dbfs,status,error
VB01,VOX_SEL_READY_01,Tony - Tough Cocky,1.07,-1.6,ok,
VB01,VOX_ORD_KILL_02,Tony - Tough Cocky,1.07,-1.6,ok,
VB02,VOX_SEL_READY_01,Syndicate - Top G,0.88,-1.6,ok,
VB03,VOX_SEL_READY_01,Pauly - Brooklyn Wise Guy,1.16,-1.7,ok,
VB04,VOX_SEL_READY_01,Dante - Dark Mafia,1.21,-1.5,ok,
VB05,VOX_SEL_READY_01,David - Deep Southern,0.84,-1.7,ok,
VB06,VOX_SEL_READY_01,Antonio - Grumpy Grandpa,1.11,-1.5,ok,
VB07,VOX_SEL_READY_01,Jerry B. - NY Italian,0.93,-2.2,ok,
VB08,VOX_SEL_READY_01,Austin - Deep Raspy,0.98,-1.5,ok,
VB01,VOX_SEL_READY_02,Tony - Tough Cocky,0.93,-1.5,ok,
VB02,VOX_SEL_READY_02,Syndicate - Top G,0.70,-1.5,ok,
VB03,VOX_SEL_READY_02,Pauly - Brooklyn Wise Guy,1.02,-1.9,ok,
VB04,VOX_SEL_READY_02,Dante - Dark Mafia,0.88,-1.5,ok,
VB05,VOX_SEL_READY_02,David - Deep Southern,0.88,-1.5,ok,
VB06,VOX_SEL_READY_02,Antonio - Grumpy Grandpa,1.07,-1.5,ok,
VB07,VOX_SEL_READY_02,Jerry B. - NY Italian,0.93,-1.5,ok,
VB08,VOX_SEL_READY_02,Austin - Deep Raspy,0.88,-1.5,ok,
VB01,VOX_SEL_READY_03,Tony - Tough Cocky,1.11,-1.6,ok,
VB02,VOX_SEL_READY_03,Syndicate - Top G,0.98,-1.5,ok,
VB03,VOX_SEL_READY_03,Pauly - Brooklyn Wise Guy,1.44,-2.7,ok,
VB04,VOX_SEL_READY_03,Dante - Dark Mafia,1.25,-1.5,ok,
VB05,VOX_SEL_READY_03,David - Deep Southern,1.39,-3.8,ok,
VB06,VOX_SEL_READY_03,Antonio - Grumpy Grandpa,1.25,-1.5,ok,
VB07,VOX_SEL_READY_03,Jerry B. - NY Italian,1.07,-1.5,ok,
VB08,VOX_SEL_READY_03,Austin - Deep Raspy,1.11,-1.6,ok,
VB01,VOX_SEL_READY_04,Tony - Tough Cocky,0.98,-1.5,ok,
VB02,VOX_SEL_READY_04,Syndicate - Top G,0.93,-1.9,ok,
VB03,VOX_SEL_READY_04,Pauly - Brooklyn Wise Guy,1.21,-1.7,ok,
VB04,VOX_SEL_READY_04,Dante - Dark Mafia,1.39,-2.5,ok,
VB05,VOX_SEL_READY_04,David - Deep Southern,0.98,-3.8,ok,
VB06,VOX_SEL_READY_04,Antonio - Grumpy Grandpa,1.21,-1.6,ok,
VB07,VOX_SEL_READY_04,Jerry B. - NY Italian,0.98,-1.5,ok,
VB08,VOX_SEL_READY_04,Austin - Deep Raspy,1.02,-1.6,ok,
VB01,VOX_SEL_CAR_01,Tony - Tough Cocky,1.16,-1.5,ok,
VB02,VOX_SEL_CAR_01,Syndicate - Top G,1.07,-1.5,ok,
VB03,VOX_SEL_CAR_01,Pauly - Brooklyn Wise Guy,1.44,-1.6,ok,
VB04,VOX_SEL_CAR_01,Dante - Dark Mafia,1.53,-1.5,ok,
VB05,VOX_SEL_CAR_01,David - Deep Southern,1.30,-2.0,ok,
VB06,VOX_SEL_CAR_01,Antonio - Grumpy Grandpa,1.44,-1.5,ok,
VB07,VOX_SEL_CAR_01,Jerry B. - NY Italian,1.07,-1.5,ok,
VB08,VOX_SEL_CAR_01,Austin - Deep Raspy,1.16,-1.5,ok,
VB01,VOX_SEL_CAR_02,Tony - Tough Cocky,1.16,-1.5,ok,
VB02,VOX_SEL_CAR_02,Syndicate - Top G,1.16,-2.9,ok,
VB03,VOX_SEL_CAR_02,Pauly - Brooklyn Wise Guy,1.30,-2.3,ok,
VB04,VOX_SEL_CAR_02,Dante - Dark Mafia,1.35,-1.5,ok,
VB05,VOX_SEL_CAR_02,David - Deep Southern,1.21,-2.9,ok,
VB06,VOX_SEL_CAR_02,Antonio - Grumpy Grandpa,1.25,-1.6,ok,
VB07,VOX_SEL_CAR_02,Jerry B. - NY Italian,1.16,-1.5,ok,
VB08,VOX_SEL_CAR_02,Austin - Deep Raspy,1.11,-1.5,ok,
VB01,VOX_SEL_INSIDE_01,Tony - Tough Cocky,1.25,-1.6,ok,
VB02,VOX_SEL_INSIDE_01,Syndicate - Top G,1.16,-1.5,ok,
