id,group,key,scope,text
VOX_SEL_READY_01,SEL,READY,crew,"Yeah, boss."
VOX_SEL_READY_02,SEL,READY,crew,"Talk to me."
VOX_SEL_READY_03,SEL,READY,crew,"We're right here."
VOX_SEL_READY_04,SEL,READY,crew,"Say the word."
VOX_SEL_CAR_01,SEL,CAR,crew,"We're in the car."
VOX_SEL_CAR_02,SEL,CAR,crew,"Behind the wheel."
VOX_SEL_INSIDE_01,SEL,INSIDE,crew,"We're off the street."
VOX_SEL_INSIDE_02,SEL,INSIDE,crew,"Sitting inside, boss."
VOX_SEL_HURT_01,SEL,HURT,wounded,"We're beat up, but we're up."
VOX_SEL_HURT_02,SEL,HURT,wounded,"We took a few. Still standing."
VOX_SEL_ROUND_01,SEL,ROUND,crew,"We're walking the round."
VOX_SEL_FEW_01,SEL,FEW,crew,"It's just me now."
VOX_ORD_MOVE_01,ORD,MOVE,crew,"On our way."
VOX_ORD_MOVE_02,ORD,MOVE,crew,"We'll walk it."
VOX_ORD_MOVE_03,ORD,MOVE,crew,"Moving."
VOX_ORD_RUN_01,ORD,RUN,crew,"Double time!"
VOX_ORD_RUN_02,ORD,RUN,crew,"Move, move!"
VOX_ORD_RUN_03,ORD,RUN,crew,"We're running it."
VOX_ORD_COVER_01,ORD,COVER,crew,"We'll sit behind this."
VOX_ORD_COVER_02,ORD,COVER,crew,"Down, out of sight."
VOX_ORD_COVER_03,ORD,COVER,crew,"We'll wait for them here."
VOX_ORD_KILL_01,ORD,KILL,crew,"Consider him gone."
VOX_ORD_KILL_02,ORD,KILL,crew,"We'll take him."
VOX_ORD_KILL_03,ORD,KILL,crew,"He's finished."
VOX_ORD_DRIVEBY_01,ORD,DRIVEBY,crew,"Warm up the bike."
VOX_ORD_DRIVEBY_02,ORD,DRIVEBY,crew,"One pass, that's all it takes."
VOX_ORD_DRIVEBY_03,ORD,DRIVEBY,crew,"We ride by, he goes down."
VOX_ORD_GRENADE_01,ORD,GRENADE,crew,"Fire in the hole!"
VOX_ORD_GRENADE_02,ORD,GRENADE,crew,"Everybody down!"
VOX_ORD_GRENADE_03,ORD,GRENADE,crew,"Say goodnight."
VOX_ORD_DOORBOMB_01,ORD,DOORBOMB,crew,"Knock knock."
VOX_ORD_DOORBOMB_02,ORD,DOORBOMB,crew,"We'll light up their door."
VOX_ORD_CARBOMB_01,ORD,CARBOMB,crew,"Charge goes under the fender."
VOX_ORD_CARBOMB_02,ORD,CARBOMB,crew,"He turns the key, it's over."
VOX_ORD_CARBOMB_03,ORD,CARBOMB,crew,"Wiring it now. Keep them off me."
VOX_ORD_SHOOTCAR_01,ORD,SHOOTCAR,crew,"We'll fill it with holes."
VOX_ORD_SHOOTCAR_02,ORD,SHOOTCAR,crew,"Nothing left of that motor."
VOX_ORD_BOARD_01,ORD,BOARD,crew,"Everybody in the car."
VOX_ORD_BOARD_02,ORD,BOARD,crew,"Get in, get in."
VOX_ORD_OUT_01,ORD,OUT,crew,"Everybody out."
VOX_ORD_OUT_02,ORD,OUT,crew,"Out of the car."
VOX_ORD_FLEE_01,ORD,FLEE,crew,"Cops! Break off!"
VOX_ORD_FLEE_02,ORD,FLEE,crew,"Scatter, now!"
VOX_ORD_FLEE_03,ORD,FLEE,crew,"We're gone."
VOX_ORD_AWAY_01,ORD,AWAY,sent,"I'll lay low a while."
VOX_ORD_AWAY_02,ORD,AWAY,sent,"Put me on the bus, boss."
VOX_ORD_BAG_01,ORD,BAG,crew,"I got the bag."
VOX_ORD_BAG_02,ORD,BAG,crew,"Money's ours."
VOX_ORD_WITNESS_01,ORD,WITNESS,crew,"We'll have a word with him."
